"","2011","2012","2013","2014","2015","2016","2017","2018"
"Diameter",3,5,6,9,8,6,5,6
"Size",116,259,459,702,809,854,858,780
"Density",0.758169934640523,0.595402298850575,0.728571428571429,0.9,0.895902547065338,0.862626262626263,0.828985507246377,0.753623188405797
"n_Vertex",18,30,36,40,43,45,46,46
