"","A Mina","A Rua Torta de Gramado","Adega Dom Carlo","Aldeia do Papai Noel","Alpen Park","Caminho das Estrelas","Caro Watson Escape Game","Casa Centenária","Casa das Artes","Casa do Colono","Casa Seganfredo","Cascata Véu de Noiva","Central de Informações Turísticas de Gramado","Centro de Informações Turísticas","Centro Municipal de Cultura","Chave-Mestra Escape Game Gramado","Cine -Teatro Elizabeth Rosenfeld","Clube da Crianca","Colorio","Dreamland Museu de Cera","Ervateira Marcon - Natural de Gramado","Estátua do Maestro Eleazar de Carvalho","Fonte do Amor Eterno","Fragram - Museu do Perfume","Galeria Arte12b","Galleria D'arte Giovanni Bocchi","Gram Bier","GramadoZoo","Harley Motor Show","Igreja Matriz São Pedro Apóstolo","Igreja Metodista","Lago Negro","Le Jardin Parque de Lavanda","Memorial Casa Italiana","Mini Mundo","Mirante do Belvedere","Mundo de Chocolate","Mundo Encantado","Museu do Automóvel - Hollywood Dream Cars","Museu do Festival de Cinema de Gramado","Museu Fioreze","Museu Gramado - Minerais & Pedras Preciosas","Museu Naval","O Reino do Chocolate","Parque do Palácio","Parque do Pinheiro Grosso","Parque Gaúcho","Parque Olivas de Gramado","Parque Temático Mundo Gelado","Pórtico via Nova Petrópolis","Pórtico Via Taquara","Praça da Criança","Praça das Etnias","Praça do Moínho","Praça Major Nicoletti","Prefeitura Municipal de Gramado","Rotula das Bandeiras","Rua Coberta","Snowland","Trem Maria Fumaça","Vila Olímpica Eduardo Tissott","Vinicola Masotti","Vinícola Ravanello","Vinícola Stopassola"
"Pórtico Via Taquara",15,43,0,17,8,1,1,0,0,19,1,1,5,0,1,2,1,0,0,20,0,1,28,2,0,0,3,10,16,62,0,75,30,2,55,12,21,5,19,5,0,3,0,12,0,0,9,0,6,58,125,2,29,1,14,8,9,88,40,1,0,2,1,0
"Praça da Criança",0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,2,0,0,5,3,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,16,0,0,0,0,0,5,2,0,0,0,0,0
"Praça das Etnias",24,105,0,26,7,4,2,5,0,56,4,2,8,0,2,7,2,0,0,31,4,1,69,8,0,0,5,12,31,114,1,157,72,11,109,18,38,11,31,13,2,6,0,31,0,1,8,0,6,56,29,0,241,1,32,9,13,175,65,1,0,3,6,0
"Praça do Moínho",0,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,2,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,3,1,1,1,2,0,0,0,1,0,0
"Praça Major Nicoletti",7,35,0,12,1,2,0,0,0,17,0,0,6,0,1,2,2,0,0,6,0,1,24,3,0,0,1,7,7,46,0,53,25,3,33,12,16,6,8,8,1,1,0,10,0,1,3,0,4,26,14,0,32,1,78,7,12,50,18,0,0,3,3,0
"Prefeitura Municipal de Gramado",1,11,0,4,2,2,0,0,0,6,0,0,5,0,2,0,2,0,0,5,0,1,7,2,0,0,2,3,4,13,1,19,11,0,10,9,10,0,3,3,0,0,0,4,0,1,2,0,1,13,8,0,9,1,7,29,5,17,5,1,0,1,1,0
"Rotula das Bandeiras",3,17,0,7,1,1,0,0,0,5,0,0,2,0,1,2,1,0,0,4,1,1,11,3,0,0,0,0,6,13,1,15,8,0,16,6,7,5,6,5,0,1,0,8,0,0,0,0,2,12,9,0,13,1,12,5,26,16,5,1,0,2,0,0
"Rua Coberta",82,253,0,208,83,5,18,7,0,176,25,4,19,0,2,36,4,0,0,224,7,2,331,25,0,0,28,113,200,676,0,1284,382,10,909,44,150,35,199,27,3,31,1,89,0,1,43,0,45,206,88,5,175,2,50,17,16,2378,605,2,0,7,35,0
"Snowland",37,101,0,157,102,2,19,3,0,65,11,1,3,0,0,44,0,0,0,172,5,0,151,9,0,0,15,93,136,244,1,789,163,6,667,15,92,20,119,12,2,11,0,63,0,0,26,0,37,84,40,2,65,0,18,5,5,605,2108,0,0,7,29,1
"Trem Maria Fumaça",0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,1,2,0,4,0,0,0,0
"Vila Olímpica Eduardo Tissott",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Vinicola Masotti",1,3,0,4,1,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,1,1,2,2,0,0,1,2,1,4,0,5,2,0,3,1,2,1,1,0,0,0,0,4,0,0,1,0,0,2,2,0,3,1,3,1,2,7,7,0,0,15,0,0
"Vinícola Ravanello",6,11,0,10,5,0,2,0,0,7,4,0,1,0,0,2,0,0,0,10,0,0,17,0,0,0,3,1,8,21,0,51,19,1,33,4,10,3,6,2,0,1,0,5,0,0,0,0,0,7,1,0,6,0,3,1,0,35,29,0,0,0,151,0
"Vinícola Stopassola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14
