"","A Mina","A Rua Torta de Gramado","Aldeia do Papai Noel","Alpen Park","Casa Centenária","Casa das Artes","Casa do Colono","Casa Seganfredo","Central de Informações Turísticas de Gramado","Centro Municipal de Cultura","Cine -Teatro Elizabeth Rosenfeld","Dreamland Museu de Cera","Ervateira Marcon - Natural de Gramado","Fonte do Amor Eterno","Fragram - Museu do Perfume","Gram Bier","GramadoZoo","Harley Motor Show","Igreja Matriz São Pedro Apóstolo","Lago Negro","Le Jardin Parque de Lavanda","Memorial Casa Italiana","Mini Mundo","Mirante do Belvedere","Mundo de Chocolate","Mundo Encantado","Museu de Artes Dr. Carlos Nelz","Museu do Automóvel - Hollywood Dream Cars","Museu do Festival de Cinema de Gramado","Museu do Sapato","Museu Fioreze","Museu Gramado - Minerais & Pedras Preciosas","Museu Naval","O Reino do Chocolate","Parque do Pinheiro Grosso","Parque Gaúcho","Parque Temático Mundo Gelado","Pórtico via Nova Petrópolis","Pórtico Via Taquara","Praça da Criança","Praça das Etnias","Praça Major Nicoletti","Prefeitura Municipal de Gramado","Rotula das Bandeiras","Rua Coberta","Snowland","Vinícola Ravanello"
"Mundo de Chocolate",35,51,65,50,12,1,74,0,1,7,1,150,9,115,18,0,60,121,195,329,75,21,313,56,633,47,1,171,1,2,3,32,4,90,7,25,39,109,84,3,106,56,38,69,142,285,23
"Mundo Encantado",16,16,33,24,6,3,29,0,3,6,1,70,4,46,14,0,47,56,76,133,29,5,137,32,47,248,1,87,0,2,3,25,2,49,7,28,27,54,46,0,41,26,23,36,50,90,11
"Museu de Artes Dr. Carlos Nelz",1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,2,0,1,1,10,2,0,1,0,0,0,2,0,0,1,2,2,2,0,0,0,1,0,1,0
"Museu do Automóvel - Hollywood Dream Cars",76,100,140,166,35,5,212,0,8,24,4,906,21,403,66,0,197,1014,649,1095,185,24,1194,178,171,87,2,2360,1,8,17,243,8,206,24,94,78,406,246,2,277,170,120,172,369,833,38
"Museu do Festival de Cinema de Gramado",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,1,1,1,0,0,1,2,0,0,0,0,0,0,2,0,1,1,0,1,1,0,1,1,0,0
"Museu do Sapato",2,3,3,2,1,1,4,0,1,2,0,5,1,5,1,0,3,5,4,5,2,1,5,4,2,2,1,8,0,11,1,2,1,2,0,2,1,4,5,1,7,4,3,3,2,4,0
"Museu Fioreze",2,5,1,7,18,2,8,0,2,3,0,14,13,15,6,0,9,14,17,25,8,2,26,2,3,3,0,17,0,1,39,14,2,7,1,3,0,9,6,1,16,12,7,7,7,12,1
"Museu Gramado - Minerais & Pedras Preciosas",26,33,27,32,22,5,60,0,4,8,0,171,11,91,35,0,50,179,134,201,55,13,234,41,32,25,0,243,0,2,14,354,5,53,2,22,17,79,44,1,79,40,29,49,81,136,14
"Museu Naval",6,4,1,0,3,3,4,0,1,1,0,3,1,5,1,0,4,6,5,10,6,5,6,1,4,2,0,8,0,1,2,5,15,5,1,2,3,3,3,1,6,3,2,4,2,6,1
"O Reino do Chocolate",36,52,75,77,13,4,82,0,2,10,3,193,5,135,33,1,70,155,218,385,75,11,396,66,90,49,2,206,0,2,7,53,5,688,10,32,44,139,108,3,113,56,44,88,184,258,16
